"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34425","Card Creation","tests.regression_UI","Thu Feb 27 03:41:12 UTC 2025","passed","Thu Feb 27 03:41:46 UTC 2025","TestUiRegression","test_ui_regression","",""
"","30849","Delete a board","tests.regression_UI","Thu Feb 27 03:43:43 UTC 2025","passed","Thu Feb 27 03:44:13 UTC 2025","TestUiRegression","test_ui_regression","",""
"","14075","Log in to Trello account","tests.regression_UI","Thu Feb 27 03:39:53 UTC 2025","passed","Thu Feb 27 03:40:07 UTC 2025","TestUiRegression","test_ui_regression","",""
"","17301","Label a card","tests.regression_UI","Thu Feb 27 03:42:22 UTC 2025","passed","Thu Feb 27 03:42:39 UTC 2025","TestUiRegression","test_ui_regression","",""
"","30673","Search functionality","tests.regression_UI","Thu Feb 27 03:43:11 UTC 2025","passed","Thu Feb 27 03:43:42 UTC 2025","TestUiRegression","test_ui_regression","",""
"","33977","Drag and drop card","tests.regression_UI","Thu Feb 27 03:41:47 UTC 2025","passed","Thu Feb 27 03:42:21 UTC 2025","TestUiRegression","test_ui_regression","",""
"","32381","Board Creation","tests.regression_UI","Thu Feb 27 03:40:07 UTC 2025","passed","Thu Feb 27 03:40:39 UTC 2025","TestUiRegression","test_ui_regression","",""
"","31736","Log out functionality","tests.regression_UI","Thu Feb 27 03:44:14 UTC 2025","passed","Thu Feb 27 03:44:46 UTC 2025","TestUiRegression","test_ui_regression","",""
"","31182","List creation","tests.regression_UI","Thu Feb 27 03:40:40 UTC 2025","passed","Thu Feb 27 03:41:11 UTC 2025","TestUiRegression","test_ui_regression","",""
"","31380","Archive a card","tests.regression_UI","Thu Feb 27 03:42:39 UTC 2025","passed","Thu Feb 27 03:43:11 UTC 2025","TestUiRegression","test_ui_regression","",""
